LinkId,Geometry
116369,"LINESTRING(355257.69224 6688410.61463,355258.79493 6688411.19624,355259.94540 6688411.68609,355261.52035 6688412.17367,355262.58743 6688412.40130,355263.96178 6688412.56668,355265.15464 6688412.60903,355266.56024 6688412.52783,355267.89770 6688412.31704,355269.30996 6688411.95730,355270.44696 6688411.55783,355271.68016 6688410.98590,355272.73697 6688410.37966,355273.63446 6688409.77150,355274.30907 6688409.24297,355274.84958 6688408.75557,355275.70210 6688407.89411,355276.34879 6688407.14467,355276.92554 6688406.36589,355277.46758 6688405.51123,355277.96735 6688404.58113,355278.48390 6688403.41642,355278.85443 6688402.34914,355279.12109 6688401.32125,355279.32844 6688400.18552,355279.43448 6688399.13352,355279.45662 6688397.94174,355279.39191 6688396.82172,355279.20104 6688395.48647,355278.94998 6688394.42173,355278.63410 6688393.41636,355278.12212 6688392.16642,355277.59273 6688391.14001,355277.08178 6688390.30168,355276.46311 6688389.43619,355275.75504 6688388.59812,355274.92478 6688387.74486,355273.90366 6688386.86924,355272.97029 6688386.19996,355271.84799 6688385.54159,355270.78692 6688385.02432,355269.64721 6688384.58948,355268.69847 6688384.31050,355267.57721 6688384.06374,355266.01891 6688383.86448,355264.88779 6688383.84082,355263.86631 6688383.87758,355262.64719 6688384.03702,355261.24684 6688384.34045,355259.93666 6688384.76105,355258.67887 6688385.30102,355257.88449 6688385.72521,355256.98380 6688386.27792,355256.46647 6688386.64160,355255.90073 6688387.08596,355255.01350 6688387.87155,355254.19121 6688388.73127,355253.29297 6688389.85128,355252.64526 6688390.84556,355252.05622 6688391.93659,355251.58745 6688393.00954,355251.17171 6688394.21294,355250.87816 6688395.43154,355250.67915 6688396.71143)"
116370,"LINESTRING(355263.96178 6688412.56668,355262.71184 6688426.89163,355254.72462 6688518.31025,355254.80683 6688523.14543,355256.28938 6688528.33362,355260.96563 6688531.71287)"
116371,"LINESTRING(355260.96563 6688531.71287,355256.28938 6688528.33362,355254.80683 6688523.14543,355254.72462 6688518.31025,355262.71184 6688426.89163,355263.96178 6688412.56668)"
116388,"LINESTRING(354880.46270 6688224.36965,354870.25710 6688354.69247,354869.34032 6688361.52141)"
116389,"LINESTRING(354869.34032 6688361.52141,354870.25710 6688354.69247,354880.46270 6688224.36965)"
116390,"LINESTRING(354869.34032 6688361.52141,354868.86147 6688366.74509,354868.68091 6688368.73601,354866.19250 6688396.37302,354861.23256 6688451.41241,354858.85969 6688486.41949)"
116391,"LINESTRING(354858.85969 6688486.41949,354861.23256 6688451.41241,354866.19250 6688396.37302,354868.68091 6688368.73601,354868.86147 6688366.74509,354869.34032 6688361.52141)"
117909,"LINESTRING(356822.17124 6689048.89549,356826.33704 6689040.65621)"
11835,"LINESTRING(357625.44338 6688743.64508,357624.40924 6688743.45964,357622.34081 6688742.82176,357620.60980 6688741.98650,357619.15957 6688741.02386,357618.30019 6688740.31661,357617.36826 6688739.40212,357616.66057 6688738.56377,357615.77565 6688737.27942,357614.82552 6688735.38689,357614.43003 6688734.30810,357614.11822 6688733.10213,357613.84881 6688731.18166)"
119293,"LINESTRING(357276.85384 6688479.50878,357271.79642 6688490.59152,357270.20101 6688493.17539,357263.96294 6688503.50263,357257.09765 6688514.78936,357254.79112 6688524.92417)"
